outcome_OutcomeID,outcome_StudyID,outcomeType,outcomeSpecific,icdCodes,prinicpalDiagnosis,outcomeDefinition,Statistical distribution,measureType,outcomeComment,study_StudyID,reviewer,dateExtracted,title,authors,publicationYear,author,studyDesign,country,region,setting,startDate,endDate,studyLength,recruitment,samplingUnit,numberOfSamplingUnits,dataCollection,ageRange,retentionRate,inclusionCriteria,Bias in Sampling frame,Standard endpoints,Confounder,Reliability,Sufficient information,qualityComment,subgroup_StudyID,subgroup_OutcomeID,SubgroupID,subgroupType,subgroupDescription,sampleSize,personYears,populationDenominator,caseCount,measureScale,estimate,lci,uci,uciEstimate,Is confidence 95%,gasCases,gasControls,gasMethod,attributableFraction,subgroupComment,weighting
40,39,Direct sequel of post-infection reactions,Rheumatic heart disease,no,Not stated,"Evidence of RHD, as  shown by documentation of RHD by the local health service, consistent abnomral echocardiogram. NHFA guideliens used for severity of RHD",-9,prevalence,clinical audit,39,Padraig,18-May-15,Variability in disease burden and management of rheumatic fever and rheumatic heart disease in two regions of tropical Australia,"Remond MGW, Severin KL, Hodder Y, Martin J, Nelson C, Atkinson D, Maguire GP",2013,"Remond et al., 2013",cross-sectional,Australia,Kimberley & FNQ,"primary healthcare, community",August 2007,March 2009,approx 1.5 years,"health information management systems, RHD registers",primary healthcare sites,29,"local health records, registry information, echocardiogram reports, clinical notes",,,clinican recorded diagnosis of ARF and/or RHD in 'regular' clients. RHD diagnosis required local health service documentation with echocardiogram consistent with RHD,Yes,Unclear,No,Unclear,No,"sample majority indigenous. Samples from those presenting for care, but mulitple sources of primary care databases",39,40,76,Region,Far North Queensland prevalence indigenous population evidence of RHD,195,-9,-9,141,% population,1.14,-9,-9,1.14,TRUE,0,0,,0,,5
42,40,Direct sequel of post-infection reactions,Rheumatic heart disease,no,Not stated,Not stated,-9,prevalence,,40,Padraig,20-May-15,Health of Aboriginal and Torres Strait Islander children in remote Far North Queensland: findings of the Paediatric Outreachy Service,"Rothstein J, Heazlewood R, Fraser M",2007,"Rothstein et al., 2007",cross-sectional,Australia,Far North Queensland,community,June 2001,February 2006,4.5 years,poaediatric outreach service,patients,3562,database queries,0-18 years,-9,,Unclear,Unclear,No,Unclear,No,,40,42,77,Ethnicity,"popultion prevalence Aboriginal predominant communities , children 0-18 years, 2001 census data",1567,-9,-9,-9,cases per 1000,2.8,-9,-9,2.8,TRUE,0,0,,0,assumes full ascertainment of cases within communtiy,5
42,40,Direct sequel of post-infection reactions,Rheumatic heart disease,no,Not stated,Not stated,-9,prevalence,,40,Padraig,20-May-15,Health of Aboriginal and Torres Strait Islander children in remote Far North Queensland: findings of the Paediatric Outreachy Service,"Rothstein J, Heazlewood R, Fraser M",2007,"Rothstein et al., 2007",cross-sectional,Australia,Far North Queensland,community,June 2001,February 2006,4.5 years,poaediatric outreach service,patients,3562,database queries,0-18 years,-9,,Unclear,Unclear,No,Unclear,No,,40,42,78,Ethnicity,"population prevalence Torres straight Islander predominant communities, children 0-18years, 2001 census",641,-9,-9,-9,cases per 1000,6,-9,-9,6,TRUE,0,0,,0,95%CI graphed but not stated,5
43,40,Post GAS infection reactions,Rheumatic Fever,no,Not stated,not stated,-9,incidence,,40,Padraig,20-May-15,Health of Aboriginal and Torres Strait Islander children in remote Far North Queensland: findings of the Paediatric Outreachy Service,"Rothstein J, Heazlewood R, Fraser M",2007,"Rothstein et al., 2007",cross-sectional,Australia,Far North Queensland,community,June 2001,February 2006,4.5 years,poaediatric outreach service,patients,3562,database queries,0-18 years,-9,,Unclear,Unclear,No,Unclear,No,,40,43,79,Ethnicity,"Aboriginal predominant community, children 0-18 years",1567,-9,-9,-9,per 1000 children per year,2.5,-9,-9,2.5,TRUE,0,0,,0,,5
43,40,Post GAS infection reactions,Rheumatic Fever,no,Not stated,not stated,-9,incidence,,40,Padraig,20-May-15,Health of Aboriginal and Torres Strait Islander children in remote Far North Queensland: findings of the Paediatric Outreachy Service,"Rothstein J, Heazlewood R, Fraser M",2007,"Rothstein et al., 2007",cross-sectional,Australia,Far North Queensland,community,June 2001,February 2006,4.5 years,poaediatric outreach service,patients,3562,database queries,0-18 years,-9,,Unclear,Unclear,No,Unclear,No,,40,43,80,Ethnicity,"Torres Strait Islander predominant communities, children 0-18 years",641,-9,-9,-9,per 1000 children per year,4.5,-9,-9,4.5,TRUE,0,0,,0,,5
44,41,Direct sequel of post-infection reactions,Rheumatic heart disease,no,Not stated,positive echocardiogram with clinician diagnosis of definite or probable RHD,-9,prevalence,,41,Padraig,20-May-15,"Undetected rheumatic haert disease revealed using portable echocardiography in a popualtion of school students in Tairawhiti, New Zealand","Cramp G, Stonehouse M, Webb R, Fuller D, Chaffey-Aupouri G, Wilson N",2012,"Cramp et al., 2012",cross-sectional,New Zealand,Tairawhiti,school based,march 2009,march 2009,2 weeks,school,individual,685,"exam, history taken",5-17 years,,consent from parent/guardian,Yes,Yes,Unclear,Yes,Yes,"Response rate: 88-95%. cross-section? Unsure
enrollment in schools a sample bias/absenteeism and non-registration. PH nurse conducted initial exams, more than one, echocardiogram info given",41,44,81,Total,"Definite, probable and possible RHD, rural and urban schools in the tarawhiti region 5-17 years of age",685,-9,-9,11,%  sample,1.61,0.8,2.85,2.85,TRUE,0,0,,0,,5
45,42,Direct sequel of post-infection reactions,Rheumatic heart disease,no,Not stated,"WHO 2005 consultation with some modifications, classified RHD into definite, probable and possible",SURVEYFREQ,prevalence,,42,Padraig,20-May-15,Optimising echocardiographic screening for rheumatic heart disease in New Zealand,"Webb RH, Wilson NJ, Lennon DR, Wilson EM, Nicholson RW, Gentles TL, O'Donnell CP, Stirling JW, Zeng I, Trenholme AA",2011,"Webb et al., 2011",cross-sectional,New Zealand,South Auckland,School,-9,-9,-9,school,individual children,1759,"exam, questionaire",10 - 13 years,66,parent/guardian consent. Attendence at school during screening,Yes,Yes,No,Yes,Yes,,42,45,83,Total,"Definite, probable and possible RHD",1142,-9,-9,59,per 1000,56.5,34.6,78.3,78.3,TRUE,0,0,,0,,5
46,43,Direct sequel of post-infection reactions,Rheumatic heart disease,no,Not stated,ARF or RHD documented in medical records,normal and median,prevalence,proportion of sample,43,Padraig,20-May-15,"Heart failure, ventricular dysfunction and risk factor prevalence in Australian Aboriginal peoples: the Heart of the Heart study","McGrady M, Krum H, Carrington MJ, Stewart S, Zeitz C, Lee GA, Marwick TH, Haluska BA, Brown A",2012,"McGrady et al., 2012",cross-sectional,Australia,Central Australia,community,may 2008,November 2009,-9,multi-center,,436,"researcher administered questionaire, medical record review, clinicnal assesment",mean(range): 44(18-80),,Aboriginal adults >18 years old residing in one of the study communities. Informed consent,No,Unclear,Yes,Yes,No,"heart failure detailed measurement, RHD based on medical records, criteria not detailed",43,46,84,Total,ARF/RHD adults in sample,436,-9,-9,32,% sample,7,-9,-9,7,TRUE,0,0,,0,,5
80,66,Superficial GAS disease,Pharyngitis,na,Not stated,GAS positive throat swab,na,proportion,GP based swabs also provided,66,Padraig,04-Jun-15,Primary care management of group A streptococcal pharyngitis in Northland,"Shetty A, Mills C, Eggleton K",2014,"Shetty et al., 2014",retrospective cohort,New Zealand,Northland,school and GP,01/04/2012,31/07/2012,3 months,DHB laboratories,swabs,5411,laboratory database,5-15,,,Yes,Unclear,No,Unclear,No,"GP based swab data also presented but difficult to compare with school based data, unknwon if duplicate swabs from both set?",66,80,153,Ethnicity,MAORI 5- 15 years swabs from 4 school based programmes during study period. School enrollment predominantly Maori (overall 79% Maori),2262,-9,-9,178,%,7.9,-9,-9,7.9,TRUE,100,0,not stated,-9,cases defined as lab positive for GAS,5
80,66,Superficial GAS disease,Pharyngitis,na,Not stated,GAS positive throat swab,na,proportion,GP based swabs also provided,66,Padraig,04-Jun-15,Primary care management of group A streptococcal pharyngitis in Northland,"Shetty A, Mills C, Eggleton K",2014,"Shetty et al., 2014",retrospective cohort,New Zealand,Northland,school and GP,01/04/2012,31/07/2012,3 months,DHB laboratories,swabs,5411,laboratory database,5-15,,,Yes,Unclear,No,Unclear,No,"GP based swab data also presented but difficult to compare with school based data, unknwon if duplicate swabs from both set?",66,80,154,Ethnicity,Non-Maori  5- 15 years swabs from 4 school based programmes during study period. School enrollment predominantly Maori (overall 79% Maori),784,-9,-9,65,%,8.3,-9,-9,8.3,TRUE,100,0,,-9,,5
81,67,Superficial GAS disease,Pharyngitis,no,Not stated,odds of GAS infection,,OR,,67,Padraig,05-Jun-15,Streptococcal pharyngitis in a paediatric emergency department,"Edmond KM, Grimwood K, Carlin JB, Chondros P, Hogg GG, Barnett PL",1996,"Edmond et al., 1996",case-control,Australia,Melbourne,hospital ED,may 1994,may 1995,1 year,ED presentation,pharyngitis cases,,,not stated. Children,,"children presenting with acute pharyngitis to the ED of the chilrdens hospital, no antibiotic use in the previous week",Unclear,Unclear,Unclear,Unclear,No,"no full text available online. Abstract only, limited assessment of methodology",67,81,155,Total,odds of GAS infection in cchildren presenting ot ED with acute pharyngitis versus controls,406,-9,-9,271,ratio,3.7,-9,-9,3.7,TRUE,21,7,oropharyngeal culture,0.67,only abstratc available online. Lacks detail,5
82,68,Superficial GAS disease,Pharyngitis,no,Not stated,acute sore throat diagnosed by consulting clinican,na,count,,68,Padraig,05-Jun-15,Detection of group A streptococcal pharyngitis by quantitative PCR,"Dunne EM, Marshall JL, Baker CA, Manning J, Genois G, Danchin MH, Smeesters PR, Satzke C, Steer AC",2013,"Dunne et al., 2013",prospective cohort,Australia,Melbourne,primary care,2011,2012,approx. 1 year,GP clinics and ED,presentations,127,clinical data and microbiology at presentation,3 -72 years,,"no previous oral antibiotic within last week, no BPG in the last month, no history of RHD, APSGN, hospitalization, immunosuppression. No obvious alternative diagnosis . No language barrier and able to give consent",Yes,Yes,No,Unclear,Yes,selection based on care seeking. Good detail methodology,68,82,156,Age, children (3-18 years) presenting to the ED or primary care clinic with acute sore throat,-9,-9,-9,91,-9,-9,-9,-9,-9,TRUE,26,-9,,-9,,5
83,69,Superficial GAS disease,Pharyngitis,no,Not stated,self reported sore throat,,incidence density,incidence density?,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,83,157,Total,sore throat incidence density across all communities,4842,-9,-9,9,cases per 100 person years,19,12,28,28,TRUE,-9,-9,,-9,,5
83,69,Superficial GAS disease,Pharyngitis,no,Not stated,self reported sore throat,,incidence density,incidence density?,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,83,160,Age,CHILDREN >15 YEARS sore throat incidence density across all communities,-9,-9,-9,2,cases per 100 person-years,8,4,15,15,TRUE,-9,-9,,-9,,5
84,69,Colonisation and carriage,Carriage,no,Not stated,GAS culture from throat swab during consultation,,prevalence,median point prevlance,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,84,158,Total,median point prevalence of GAS recovery from throat swabs taken during consultations in study communities over study period,4842,-9,5100,216,%,4.5,3.9,5.1,5.1,TRUE,-9,-9,,-9,approximate populaiton of all 3 communities combined,5
84,69,Colonisation and carriage,Carriage,no,Not stated,GAS culture from throat swab during consultation,,prevalence,median point prevlance,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,84,159,Age,CHILDREN <15 YEARS median point prevalence of GAS recovery from throat swabs taken during consultations in study communities over study period,2694,-9,-9,151,%,5.6,4.8,6.5,6.5,TRUE,-9,-9,,-9,,5
85,69,Superficial GAS disease,Pyoderma,no,Not stated,"presence of >= 1 pustular, crusted or vesicular lesion or dry-but-inflamed skin ulcers >1 cm in diameter. GAS confirmed from culture of swab specimens from lesions",,period prevalence,median point prevalence [IQR] also available,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,85,162,Region,COMMUNITY 1 period prevalence of pyoderma episodes per consultations between 2003-2005 (2 years),3034,-9,2500,287,%,9.5,8.4,10.6,10.6,TRUE,93,-9,culture,-9,"GAS proportion total of all episodes all communities. 
Community 1 episodes positive for any BHS: 27.9%
GAS skin isolates per 100 consults[95%CI]: 2.8[2.2,3.5]",5
85,69,Superficial GAS disease,Pyoderma,no,Not stated,"presence of >= 1 pustular, crusted or vesicular lesion or dry-but-inflamed skin ulcers >1 cm in diameter. GAS confirmed from culture of swab specimens from lesions",,period prevalence,median point prevalence [IQR] also available,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,85,163,Age,COMMUNITY 1  CHILDREN <15  YEARS period prevalence of pyoderma episodes per consultations between 2003-2005 (2 years),1711,-9,-9,260,%,15.2,13.5,17,17,TRUE,93,-9,culture,-9,"GAS proportion total of all episodes all communities. 
Community 1 <15 years episodes positive for any BHS: 28.1%",5
85,69,Superficial GAS disease,Pyoderma,no,Not stated,"presence of >= 1 pustular, crusted or vesicular lesion or dry-but-inflamed skin ulcers >1 cm in diameter. GAS confirmed from culture of swab specimens from lesions",,period prevalence,median point prevalence [IQR] also available,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,85,164,Region,COMMUNITY 2 period prevalence of pyoderma episodes per consultations between 2003-2004 (1 year),299,-9,800,38,%,12.7,9.2,17,17,TRUE,93,-9,culture,-9,"GAS proportion total of all episodes all communities. 
Community 1 <15 years episodes positive for any BHS: 13.2%. GAS skin isolates per 100 consults [95%CI]: 1.7[0.5,3.9]",5
85,69,Superficial GAS disease,Pyoderma,no,Not stated,"presence of >= 1 pustular, crusted or vesicular lesion or dry-but-inflamed skin ulcers >1 cm in diameter. GAS confirmed from culture of swab specimens from lesions",,period prevalence,median point prevalence [IQR] also available,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,85,165,Age,COMMUNITY 2 CHILDREN <15 YEARS period prevalence of pyoderma episodes per consultations between 2003-2004 (1 year),138,-9,-9,35,%,25.4,18.3,33.4,33.4,TRUE,93,-9,culture,-9,"GAS proportion total of all episodes all communities. 
Community 1 <15 years episodes positive for any BHS: 14.3%",5
85,69,Superficial GAS disease,Pyoderma,no,Not stated,"presence of >= 1 pustular, crusted or vesicular lesion or dry-but-inflamed skin ulcers >1 cm in diameter. GAS confirmed from culture of swab specimens from lesions",,period prevalence,median point prevalence [IQR] also available,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,85,166,Region,COMMUNITY 3 period prevalence of pyoderma episodes per consultations between 2004-2005 (1 year),1533,-9,1800,130,%,8.5,7.1,10,10,TRUE,93,-9,culture,-9,"GAS proportion total of all episodes all communities. 
Community 1 <15 years episodes positive for any BHS: 25.4%. GAS skin isoaltes per 100 consults[95%CI]: 2.2[1.5, 3.1]",5
85,69,Superficial GAS disease,Pyoderma,no,Not stated,"presence of >= 1 pustular, crusted or vesicular lesion or dry-but-inflamed skin ulcers >1 cm in diameter. GAS confirmed from culture of swab specimens from lesions",,period prevalence,median point prevalence [IQR] also available,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,85,167,Age,COMMUNITY 3 CHILDREN <15 YEARS period prevalence of pyoderma episodes per consultations between 2004-2005 (1 year),859,-9,-9,118,%,13.7,11.5,16.2,16.2,TRUE,93,-9,culture,-9,"GAS proportion total of all episodes all communities. 
Community 1 <15 years episodes positive for any BHS: 25.4%",5
86,69,Superficial GAS disease,Pharyngitis,no,Not stated,symptomatic GAS pharyngitis. Not defined but swabs taken from self-reported sore throat.,,incidence density,not actually defined in paper,69,Padraig,05-Jun-15,Low rates of streptococcal pharyngitis and high rates of pyoderma in Australian Aboriginal communities where acute rheumatic fever in hyperendemic,"McDonald MI, Towers RJ, Andrews RM, Benger N, Currie BJ, Carapetis JR",2006,"McDonald et al., 2006",prospective cohort,Australia,Top End,community,August 2003,June 2005,1-2 years,active,households with known history of ARF/RHD,49,consulation and health center exam,,,,Yes,Yes,No,Yes,Yes,"mobile population, may not capture cases moving around households",69,86,161,Total,Symptomatic gas pharyngitis  incidence density across all communities,4842,-9,-9,-9,per 100 person-years,4,-9,-9,4,TRUE,0,0,,0,,5
88,70,Superficial GAS disease,Pharyngitis,no,Not stated,self-reported sore throat,,incidence density,,70,Padraig,10-Jun-15,Apparent contrasting rates of pharyngitis and pyoderma in regions where rheumatic heart disease is highly prevalent,"McDonald M, Brown A, Edwards T, Hope A, Amu M, Morey F, Currie BJ, Carapetis JR",2007,"McDonald et al., 2007",prospective cohort,Australia,Central,community,september 2004,september 2005,13 months,active,household,13,household consultation,,145/156(92.9%),one or more household occupants had a hsitory of ARF/RHD,Yes,Unclear,No,Unclear,No,mentions potential to bias against finding GAS by sampling from households being treated for ARF/RHD (BPG). Also mention concerns about error in swab and lab culture (random),70,88,168,Total,sore throat episodes,326,-9,-9,15,per 100 person year,480,290,780,780,TRUE,6.7,-9,culture,-9,may be able to calculate attributable fraction from infering data from paper,5
89,70,Colonisation and carriage,Carriage,no,Not stated,community throat carriage GAS determinded by swab and culture,,period prevalence,,70,Padraig,10-Jun-15,Apparent contrasting rates of pharyngitis and pyoderma in regions where rheumatic heart disease is highly prevalent,"McDonald M, Brown A, Edwards T, Hope A, Amu M, Morey F, Currie BJ, Carapetis JR",2007,"McDonald et al., 2007",prospective cohort,Australia,Central,community,september 2004,september 2005,13 months,active,household,13,household consultation,,145/156(92.9%),one or more household occupants had a hsitory of ARF/RHD,Yes,Unclear,No,Unclear,No,mentions potential to bias against finding GAS by sampling from households being treated for ARF/RHD (BPG). Also mention concerns about error in swab and lab culture (random),70,89,169,Total,overall community prevalence of GAS throat carriage over period 2004-2005,326,-9,600,12,%,3.7,1.9,6.3,6.3,TRUE,0,0,,0,pop denom from intro. Case count back calculated from %,5
90,70,Superficial GAS disease,Pyoderma,no,Not stated,exposed limbs and skin areas with pyoderma swabbed during consultations and cultured in lab,,prevalence,,70,Padraig,10-Jun-15,Apparent contrasting rates of pharyngitis and pyoderma in regions where rheumatic heart disease is highly prevalent,"McDonald M, Brown A, Edwards T, Hope A, Amu M, Morey F, Currie BJ, Carapetis JR",2007,"McDonald et al., 2007",prospective cohort,Australia,Central,community,september 2004,september 2005,13 months,active,household,13,household consultation,,145/156(92.9%),one or more household occupants had a hsitory of ARF/RHD,Yes,Unclear,No,Unclear,No,mentions potential to bias against finding GAS by sampling from households being treated for ARF/RHD (BPG). Also mention concerns about error in swab and lab culture (random),70,90,170,Age,CHILDREN <15 years with 1 or more episodes of pyoderma over study period,91,-9,-9,5,%,5.5,1.8,12.3,12.3,TRUE,1.5,-9,culture,-9,"unsure about GAS %. ""GAS recovered from skin sores on 3 occasions"" could be consults (n=201) or children(n=91)",5
91,71,Superficial GAS disease,Pharyngitis,no,Not stated,GAS culture-positive sore throat,,incidence,true incidence,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,91,171,Total,GAS culture positive sore throat primary and secondary cases,828,977,-9,86,per 100 patient years,8.8,7,10.9,10.9,TRUE,100,-9,throat swab,-9,,5
91,71,Superficial GAS disease,Pharyngitis,no,Not stated,GAS culture-positive sore throat,,incidence,true incidence,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,91,173,Age,CHILDREN 5-12 GAS culture positive sore throat primary and secondary cases,331,392,-9,50,per 100 patient-years,12.8,9.5,16.8,16.8,TRUE,0,0,,0,,5
91,71,Superficial GAS disease,Pharyngitis,no,Not stated,GAS culture-positive sore throat,,incidence,true incidence,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,91,174,Age,CHILDREN 13-18 GAS culture positive sore throat primary and secondary cases,55,65,-9,6,per 100 patient-years,9.2,3.4,20.1,20.1,TRUE,0,0,,0,,5
91,71,Superficial GAS disease,Pharyngitis,no,Not stated,GAS culture-positive sore throat,,incidence,true incidence,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,91,175,Age,CHILDREN <5 GAS culture positive sore throat primary and secondary cases,84,97,-9,10,per 100 patient-year,10.3,4.9,19,19,TRUE,0,0,,0,>18 also available,5
92,71,Superficial GAS disease,Pharyngitis,no,Not stated,"GAS serologically confirmed pharyngitis, both unequivicol and likely cases of an antibody response. Positive GAS culture and  0.2 log-10 rise in antistreptolysin O (ASO) or anti-DNase B (ADB) titer between acute and convalescent sera.",,incidence,true incidence,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,92,172,Total,TOTAL serologically confirmed,828,977,-9,56,per 100 patient year,5.7,4.3,7.4,7.4,TRUE,0,0,,0,,5
92,71,Superficial GAS disease,Pharyngitis,no,Not stated,"GAS serologically confirmed pharyngitis, both unequivicol and likely cases of an antibody response. Positive GAS culture and  0.2 log-10 rise in antistreptolysin O (ASO) or anti-DNase B (ADB) titer between acute and convalescent sera.",,incidence,true incidence,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,92,176,Age,CHILDREN <5  serologically confirmed GAS pharyngitis,84,97,-9,7,per 100 patient-years,7.2,2.9,14.9,14.9,TRUE,0,0,,0,,5
92,71,Superficial GAS disease,Pharyngitis,no,Not stated,"GAS serologically confirmed pharyngitis, both unequivicol and likely cases of an antibody response. Positive GAS culture and  0.2 log-10 rise in antistreptolysin O (ASO) or anti-DNase B (ADB) titer between acute and convalescent sera.",,incidence,true incidence,71,Padraig,11-Jun-15,Burden of acute sore throat and group A streptococcal pharyngitis in school-aged children and their families in Australia,"Danchin MH, Rogers S, Kelpie L, Selvaraj G, Curtis N, Carlin JB, Nolan TM, Carapetis JR",2007,"Danchin et al., 2007",prospective cohort,Australia,Melbourne,community,august 2001,december 2002,16 month,family medicine practitioners,family,202,active surveillance,not stated,97,,No,Yes,No,Yes,Yes,high quality. Regression against covariates but not by our confonders of interst.,71,92,177,Age,CHILDREN 5-12  serologically confirmed GAS pharyngitis,331,392,-9,32,per 100 patient-years,8.2,5.6,11.5,11.5,TRUE,0,0,,0,,5
